,open,high,low,close,volume
20200911,15155,15280,14945,15250,46390128
20200910,15300,15380,15180,15295,37269157
20200909,15010,15210,14940,15020,40643337
20200908,15235,15365,15110,15365,42357668
20200907,14890,15065,14735,14980,37397858
20200904,14500,14910,14485,14855,53496348
20200903,15100,15390,15085,15285,51655860
20200902,14885,14965,14550,14825,55011791
20200901,14485,14790,14460,14690,50091935
20200831,15170,15290,14470,14485,67380017
20200828,15005,15275,14780,14935,63893453
20200827,15150,15175,14800,14800,50977486
20200826,15030,15175,14680,15065,54938457
20200825,14935,15110,14755,15070,57873117
20200824,14390,14730,14105,14675,57328722
20200821,14250,14690,14065,14360,88176084
20200820,14885,14995,13890,13960,88667816
20200819,15265,15410,15060,15120,39800081
20200818,15800,15885,14905,15010,50533337
20200814,15935,15985,15370,15640,54149649
20200813,16220,16330,15650,15990,57331158
20200812,15700,15995,15465,15995,46870422
20200811,15455,15985,15435,15840,63221443
20200810,14935,15465,14900,15420,47177636
20200807,14960,15150,14725,15000,57017058
20200806,14540,15025,14500,14865,64415044
20200805,14155,14405,14070,14405,42466107
20200804,13920,14195,13915,14085,48974360
20200803,13780,13850,13595,13760,37650559
20200731,14095,14210,13730,13780,58384016
20200730,14090,14200,13985,13985,45354566
20200729,13850,14125,13780,13945,58330753
20200728,13500,13950,13465,13800,58274268
20200727,12960,13395,12960,13260,44526952
20200724,12910,13175,12890,13010,46100490
20200723,13315,13320,12980,13150,61632754
20200722,13400,13500,13270,13315,40381939
20200721,13285,13510,13245,13415,55016827
20200720,13190,13210,12870,13040,41137758
20200717,12925,13140,12925,13105,46871952
20200716,13170,13205,12830,12915,52371577
20200715,13200,13370,13065,13185,65487268
20200714,12805,12950,12690,12950,53720171
20200713,12740,12990,12660,12975,51767755
20200710,12780,12815,12390,12495,68754452
20200709,12760,12935,12725,12765,51287364
20200708,12740,12825,12560,12645,54518282
20200707,13260,13260,12695,12710,82053964
20200706,12680,13080,12635,13025,62830887
20200703,12485,12630,12380,12615,58097741
20200702,12180,12380,12150,12380,59745604
20200701,12300,12380,12040,12090,76737865
20200630,12260,12380,12085,12090,77695103
20200629,11990,12195,11800,11890,85554037
20200626,12230,12395,12035,12280,81060229
20200625,12210,12395,11955,11955,101259290
